Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,latent
KEGG_2021_Human,Positive Regulation Of Lymphocyte Activation (GO:0051251),2/47,0.0009996316450557327,0.0102021229657158,0,0,49.22222222222222,340.0331999878986,PRKDC;HSPD1,Latent_16
GO_Biological_Process_2023,Positive Regulation Of Lymphocyte Activation (GO:0051251),2/47,0.0009996316450557327,0.0102021229657158,0,0,49.22222222222222,340.0331999878986,PRKDC;HSPD1,Latent_16
KEGG_2021_Human,Regulation Of Interleukin-12 Production (GO:0032655),2/50,0.0011307590059983,0.0112106678594691,0,0,46.138888888888886,313.0461870363529,HMGB1;HSPD1,Latent_16
GO_Biological_Process_2023,Regulation Of Interleukin-12 Production (GO:0032655),2/50,0.0011307590059983,0.0112106678594691,0,0,46.138888888888886,313.0461870363529,HMGB1;HSPD1,Latent_16
KEGG_2021_Human,mRNA Stabilization (GO:0048255),2/53,0.0012697052431465,0.0122385477603291,0,0,43.41830065359477,289.55536610866125,HNRNPD;YBX1,Latent_16
GO_Biological_Process_2023,mRNA Stabilization (GO:0048255),2/53,0.0012697052431465,0.0122385477603291,0,0,43.41830065359477,289.55536610866125,HNRNPD;YBX1,Latent_16
KEGG_2021_Human,Regulation Of Smooth Muscle Cell Proliferation (GO:0048660),2/54,0.0013177506939226,0.0123583646159772,0,0,42.58119658119658,282.3912150075315,XRCC5;PRKDC,Latent_16
GO_Biological_Process_2023,Regulation Of Smooth Muscle Cell Proliferation (GO:0048660),2/54,0.0013177506939226,0.0123583646159772,0,0,42.58119658119658,282.3912150075315,XRCC5;PRKDC,Latent_16
KEGG_2021_Human,Telomere Organization (GO:0032200),2/63,0.001788774259171,0.0163343333666408,0,0,36.28233151183971,229.5301805177287,XRCC5;PRKDC,Latent_16
GO_Biological_Process_2023,Telomere Organization (GO:0032200),2/63,0.001788774259171,0.0163343333666408,0,0,36.28233151183971,229.5301805177287,XRCC5;PRKDC,Latent_16
KEGG_2021_Human,Regulation Of DNA-templated Transcription (GO:0006355),7/1922,0.0018819652162398,0.016744664872698,0,0,5.079534042980519,31.87630461454304,SET;HNRNPK;XRCC5;RAD21;HNRNPD;YBX1;HMGB1,Latent_16
GO_Biological_Process_2023,Regulation Of DNA-templated Transcription (GO:0006355),7/1922,0.0018819652162398,0.016744664872698,0,0,5.079534042980519,31.87630461454304,SET;HNRNPK;XRCC5;RAD21;HNRNPD;YBX1;HMGB1,Latent_16
KEGG_2021_Human,Telomere Maintenance (GO:0000723),2/68,0.0020802097196089,0.0180458193176074,0,0,33.525252525252526,207.02804146104276,XRCC5;PRKDC,Latent_16
GO_Biological_Process_2023,Telomere Maintenance (GO:0000723),2/68,0.0020802097196089,0.0180458193176074,0,0,33.525252525252526,207.02804146104276,XRCC5;PRKDC,Latent_16
KEGG_2021_Human,Positive Regulation Of Interleukin-6 Production (GO:0032755),2/76,0.0025901140533562,0.0219212091832834,0,0,29.88888888888889,178.0198173382836,HMGB1;HSPD1,Latent_16
GO_Biological_Process_2023,Positive Regulation Of Interleukin-6 Production (GO:0032755),2/76,0.0025901140533562,0.0219212091832834,0,0,29.88888888888889,178.0198173382836,HMGB1;HSPD1,Latent_16
KEGG_2021_Human,Positive Regulation Of Endothelial Cell Proliferation (GO:0001938),2/77,0.0026575929845639,0.0219567801343734,0,0,29.488888888888887,174.87897393163863,ITGA4;HMGB1,Latent_16
GO_Biological_Process_2023,Positive Regulation Of Endothelial Cell Proliferation (GO:0001938),2/77,0.0026575929845639,0.0219567801343734,0,0,29.488888888888887,174.87897393163863,ITGA4;HMGB1,Latent_16
KEGG_2021_Human,DNA Repair (GO:0006281),3/291,0.0028928685945682,0.0233447767980271,0,0,12.066176470588236,70.5329151111283,XRCC5;PRKDC;RAD21,Latent_16
GO_Biological_Process_2023,DNA Repair (GO:0006281),3/291,0.0028928685945682,0.0233447767980271,0,0,12.066176470588236,70.5329151111283,XRCC5;PRKDC;RAD21,Latent_16
KEGG_2021_Human,mRNA Metabolic Process (GO:0016071),2/85,0.0032270347482887,0.0248840235034708,0,0,26.63587684069612,152.78849293856263,SRSF2;HNRNPR,Latent_16
KEGG_2021_Human,Positive Regulation Of Amide Metabolic Process (GO:0034250),2/85,0.0032270347482887,0.0248840235034708,0,0,26.63587684069612,152.78849293856263,PRKDC;HNRNPD,Latent_16
GO_Biological_Process_2023,mRNA Metabolic Process (GO:0016071),2/85,0.0032270347482887,0.0248840235034708,0,0,26.63587684069612,152.78849293856263,SRSF2;HNRNPR,Latent_16
GO_Biological_Process_2023,Positive Regulation Of Amide Metabolic Process (GO:0034250),2/85,0.0032270347482887,0.0248840235034708,0,0,26.63587684069612,152.78849293856263,PRKDC;HNRNPD,Latent_16
KEGG_2021_Human,Regulation Of Type II Interferon Production (GO:0032649),2/87,0.0033775636848334,0.0254785782312435,0,0,26.00653594771242,147.99280991824526,HMGB1;HSPD1,Latent_16
GO_Biological_Process_2023,Regulation Of Type II Interferon Production (GO:0032649),2/87,0.0033775636848334,0.0254785782312435,0,0,26.00653594771242,147.99280991824526,HMGB1;HSPD1,Latent_16
KEGG_2021_Human,B Cell Activation (GO:0042113),2/92,0.0037680465442261,0.0278194074648183,0,0,24.55555555555556,137.04943154835937,ITGA4;HSPD1,Latent_16
GO_Biological_Process_2023,B Cell Activation (GO:0042113),2/92,0.0037680465442261,0.0278194074648183,0,0,24.55555555555556,137.04943154835937,ITGA4;HSPD1,Latent_16
KEGG_2021_Human,Negative Regulation Of Amide Metabolic Process (GO:0034249),2/93,0.0038485584136363,0.0278218701985793,0,0,24.284493284493283,135.02315810678772,NCL;YBX1,Latent_16
GO_Biological_Process_2023,Negative Regulation Of Amide Metabolic Process (GO:0034249),2/93,0.0038485584136363,0.0278218701985793,0,0,24.284493284493283,135.02315810678772,NCL;YBX1,Latent_16
KEGG_2021_Human,"Regulation Of mRNA Splicing, Via Spliceosome (GO:0048024)",2/94,0.0039298718288353,0.0278299086654259,0,0,24.019323671497585,133.04659989721253,HNRNPK;NCL,Latent_16
GO_Biological_Process_2023,"Regulation Of mRNA Splicing, Via Spliceosome (GO:0048024)",2/94,0.0039298718288353,0.0278299086654259,0,0,24.019323671497585,133.04659989721253,HNRNPK;NCL,Latent_16
KEGG_2021_Human,Negative Regulation Of Macromolecule Biosynthetic Process (GO:0010558),2/98,0.0042631105931237,0.029585987516279,0,0,23.01388888888889,125.60419474591951,NCL;YBX1,Latent_16
GO_Biological_Process_2023,Negative Regulation Of Macromolecule Biosynthetic Process (GO:0010558),2/98,0.0042631105931237,0.029585987516279,0,0,23.01388888888889,125.60419474591951,NCL;YBX1,Latent_16
KEGG_2021_Human,rRNA Processing (GO:0006364),2/101,0.0045213816583109,0.0302679628141634,0,0,22.31313131313131,120.46720485255872,PRKDC;RPL14,Latent_16
KEGG_2021_Human,"CD4-positive, Alpha-Beta T Cell Activation (GO:0035710)",1/5,0.0049904406959516,0.0302679628141634,0,0,262.8421052631579,1393.123889480945,HMGB1,Latent_16
KEGG_2021_Human,Negative Regulation Of Histone Acetylation (GO:0035067),1/5,0.0049904406959516,0.0302679628141634,0,0,262.8421052631579,1393.123889480945,SET,Latent_16
KEGG_2021_Human,tRNA Transport (GO:0051031),1/5,0.0049904406959516,0.0302679628141634,0,0,262.8421052631579,1393.123889480945,YBX1,Latent_16
KEGG_2021_Human,Regulation Of T-Circle Formation (GO:1904429),1/5,0.0049904406959516,0.0302679628141634,0,0,262.8421052631579,1393.123889480945,XRCC5,Latent_16
